Sewa Apartemen Taman Melati Surabaya - Modern Stylish Studio at Taman Melati Surabaya Apartment By Travelio,Lokasi,Jenis Unit,Jumlah Bedroom,Luas Unit,Kelengkapan,Lantai Unit,Kamar Mandi,Harga,Jarak dari Kampus (km),Jarak dari Bandara (km),Jarak dari Stasiun (km),Jarak dari Terminal (km),Jarak dari Tol (km),Aksesbilitas,Link URL
157,Wonokromo,studioroom,1,25.67,Full Furnished,9,1,"Rp4,132,384",3.9,13.9,7.2,6.2,6,Bandara Internasional Juanda dapat ditempuh 24 menit berkendara (13.9 km); Rumah Sakit Premier Surabaya dapat ditempuh 11 menit berkendara (4 km); Universitas 17 Agustus 1945 Surabaya dapat ditempuh 11 menit berkendara (3.9 km); Rumah sakit Islam Surabaya dapat ditempuh 4 menit berkendara (1.6 km); Siloam Hospitals Surabaya dapat ditempuh 14 menit berkendara (5.8 km); Stasiun Surabaya Gubeng dapat ditempuh 18 menit berkendara (7.2 km); Politeknik Kesehatan Surabaya dapat ditempuh 14 menit berkendara (5.3 km); Institut Sepuluh Nopember Surabaya dapat ditempuh 21 menit berkendara (8.8 km).,https://www.travelio.com/property/surabaya/best-location-and-cozy-studio-apartement-at-klaska-residence-by-travelio?searchType=monthly&checkIn=29-06-2023&checkOut=28-07-2023&guest=1&nights=1&handpicked=&roomName=Studio%20Room&roomBreakfast=0
158,Gayungan,studioroom,1,17,Full Furnished,38,1,"Rp4,417,382",2.6,15,10.1,6,5,Bandara Internasional Juanda dapat ditempuh selama 19 menit berkendara dari apartemen ini (15.0 km); Stasiun Surabaya Gubeng berlokasi 23 menit berkendara (10.1 km); Stasiun Surabaya Pasarturi hanya 24 menit berkendara (10.2 km) Universitas Petra Christian dapat ditempuh selama 7 menit berkendara (2.6 km); Masjid Al-Akbar Surabaya hanya 9 menit berkendara (2.9 km).,https://www.travelio.com/property/surabaya/strategic-and-cozy-studio-room-apartment-at-tamansari-papilio-by-travelio?searchType=monthly&checkIn=29-06-2023&checkOut=28-07-2023&guest=1&nights=1&handpicked=&roomName=Studio%20Room&roomBreakfast=0
159,Bubutan,studioroom,1,23.44,Full Furnished,11,1,"Rp4,442,487",6.6,20.3,3,18.7,1.9,Bandara Internasional Juanda bisa diakses dengan berkendara selama 43 menit (20.3 km); 19 menit berkendara dari Stasiun Surabaya Gubeng (6.6 km); 11 menit berkendara dari Stasiun Pasar Turi (3 km); 17 menit berkendara menuju Rumah Sakit Mitra Keluarga Surabaya (5.2 km); Universitas Airlangga berjarak 21 menit berkendara (6.6 km).,https://www.travelio.com/property/surabaya/modern-and-comfy-studio-at-gunawangsa-tidar-apartment-by-travelio?searchType=monthly&checkIn=29-06-2023&checkOut=28-07-2023&guest=1&nights=1&handpicked=&roomName=Studio%20Room&roomBreakfast=0
160,Bubutan,studioroom,1,23.44,Full Furnished,32,1,"Rp4,147,487",6.6,20.3,3,18.7,1.9,Bandara Internasional Juanda bisa diakses dengan berkendara selama 43 menit (20.3 km); 19 menit berkendara dari Stasiun Surabaya Gubeng (6.6 km); 11 menit berkendara dari Stasiun Pasar Turi (3 km); 17 menit berkendara menuju Rumah Sakit Mitra Keluarga Surabaya (5.2 km); Universitas Airlangga berjarak 21 menit berkendara (6.6 km).,https://www.travelio.com/property/surabaya/best-choice-and-nice-studio-at-gunawangsa-tidar-apartment-by-travelio?searchType=monthly&checkIn=29-06-2023&checkOut=28-07-2023&guest=1&nights=1&handpicked=&roomName=Studio%20Room&roomBreakfast=0
161,Mulyorejo,studioroom,1,29,Full Furnished,21,1,"Rp4,630,000",0.5,21.5,5.5,18.5,10.3,Bandara Internasional Juanda berjarak 40 menit berkendara (21.5 km). Stasiun Surabaya Gubeng berjarak 18 menit berkendara (5.5 km). Institut Teknologi Sepuluh Nopember berjarak 9 menit berkendara (3.2 km). Rumah Sakit Umum Haji Surabaya berjarak 9 menit berkendara (2.9 km),https://www.travelio.com/property/surabaya/classic-studio-room-apartment-at-taman-melati-surabaya-by-travelio?searchType=monthly&checkIn=29-06-2023&checkOut=28-07-2023&guest=1
162,Sambikerep,studioroom,1,18.25,Full Furnished,5,1,"Rp4,445,000",18.1,26.3,11.7,15.5,4.5,Bandara Internasional Juanda bisa diakses dengan 33 menit berkendara (26.3 km); Rumah Sakit Premier Surabaya Berjarak 37 Menit Berkendara (13.3 km); 24 menit berkendara ke Surabaya Town Square (11 km); 30 menit berkendara menuju Universitas Kristen Petra (18.1 km); 31 menit berkendara menuju House Of Sampoerna (18.7 km),https://www.travelio.com/property/surabaya/chic-and-cozy-studio-apartment-at-tanglin-supermall-mansion-by-travelio?searchType=monthly&checkIn=29-06-2023&checkOut=28-07-2023&guest=1&nights=1&handpicked=&roomName=Studio%20Room&roomBreakfast=0
163,Mulyorejo,studioroom,1,22,Full Furnished,8,1,"Rp4,445,000",2.4,22.4,9.2,20.7,12.6,"Bandara Internasional Juanda berjarak 54 menit berkendara dari apartemen ini (22,4 km); 25 menit menit berkendara menuju Stasiun Gubeng (9,2 km); 40 menit ke Stasiun Pasar Turi (11,9 km); 22 menit berkendara menuju Universitas Airlangga (7,7 km); dan Institut Teknologi Sepuluh Nopember (ITS) dapat dijangkau dengan 7 menit berkendara (2,4 km).",https://www.travelio.com/property/surabaya/deluxe-studio-apartment-at-east-coast-mansion-by-travelio?searchType=monthly&checkIn=29-06-2023&checkOut=28-07-2023&guest=1&nights=1&handpicked=&roomName=Studio%20Room&roomBreakfast=0
164,Sambikerep,2 BR,2,49.96,Full Furnished,18A,1,"Rp4,325,000",6.4,27.2,11.8,15.4,5,Bandara Internasional Juanda dapat ditempuh selama 42 menit berkendara (27.2 km); Universitas Wijaya Kusuma Surabaya 19 menit berkendara (6.4 km); UIN Sunan Ampel 37 menit berkendara (12.5 km); Stasiun Surabaya Gubeng 42 menit berkendara (13.3 km); Stasiun Surabaya Pasar Turi 38 menit berkendara (11.8 km),https://www.travelio.com/property/surabaya/spacious-and-homey-2br-apartment-at-waterplace-residence-by-travelio?searchType=monthly&checkIn=29-06-2023&checkOut=28-07-2023&guest=1
165,Gunung Anyar,2 BR,2,38,Full Furnished,3,1,"Rp4,626,125",6.6,11.1,13.5,11,2.8,"Bandara Internasional Juanda bisa diakses dengan 21 menit berkendara (11,1 km); 20 menit berkendara ke Stasiun Surabaya Gubeng (13,5 km); 20 menit berkendara menuju Universitas Petra Christian (6.6 km); 25 menit berkendara ke Universitas Airlangga Kampus B (9.8 km); 34 menit berkendara ke Stadion Gelora 10 November (14 km)",https://www.travelio.com/property/surabaya/best-price-2br-strategic-at-puri-mas-apartment-by-travelio?searchType=monthly&checkIn=29-06-2023&checkOut=28-07-2023&guest=1&nights=1&handpicked=&roomName=2%20Bedroom&roomBreakfast=0
166,Sambikerep,studioroom,1,22,Full Furnished,30,1,"Rp4,157,360",18.1,26.3,11.7,15.5,4.5,Bandara Internasional Juanda bisa diakses dengan 33 menit berkendara (26.3 km); Rumah Sakit Premier Surabaya Berjarak 37 Menit Berkendara (13.3 km); 24 menit berkendara ke Surabaya Town Square (11 km); 30 menit berkendara menuju Universitas Kristen Petra (18.1 km); 31 menit berkendara menuju House Of Sampoerna (18.7 km); ,https://www.travelio.com/property/surabaya/calm-and-serene-studio-apartment-at-tanglin-supermall-mansion-by-travelio?searchType=monthly&checkIn=29-06-2023&checkOut=28-07-2023&guest=1&nights=1&handpicked=&roomName=Studio%20Room&roomBreakfast=0
167,Gunung Anyar,2 BR,2,38.5,Full Furnished,10,1,"Rp4,637,895",6.6,11.1,13.5,11,2.8,"Bandara Internasional Juanda bisa diakses dengan 21 menit berkendara (11,1 km); 20 menit berkendara ke Stasiun Surabaya Gubeng (13,5 km); 20 menit berkendara menuju Universitas Petra Christian (6.6 km); 25 menit berkendara ke Universitas Airlangga Kampus B (9.8 km); 34 menit berkendara ke Stadion Gelora 10 November (14 km).",https://www.travelio.com/property/surabaya/homey-and-tidy-2br-at-puri-mas-apartment-by-travelio?searchType=monthly&checkIn=29-06-2023&checkOut=28-07-2023&guest=1&nights=1&handpicked=&roomName=2%20Bedrooms&roomBreakfast=0
168,Bubutan,studioroom,1,23,Full Furnished,51,1,"Rp4,174,557",6.6,20.3,3,18.7,1.9,Bandara Internasional Juanda bisa diakses dengan berkendara selama 43 menit (20.3 km); 19 menit berkendara dari Stasiun Surabaya Gubeng (6.6 km); 11 menit berkendara dari Stasiun Pasar Turi (3 km); 17 menit berkendara menuju Rumah Sakit Mitra Keluarga Surabaya (5.2 km); Universitas Airlangga berjarak 21 menit berkendara (6.6 km).,https://www.travelio.com/property/surabaya/scenic-studio-apartment-at-gunawangsa-tidar-by-travelio?searchType=monthly&checkIn=29-06-2023&checkOut=28-07-2023&guest=1&nights=1&handpicked=&roomName=Studio%20Room&roomBreakfast=0
169,Gayungan,studioroom,1,22,Full Furnished,32,1,"Rp4,175,182",2.6,15,10.1,6,5,Bandara Internasional Juanda dapat ditempuh selama 19 menit berkendara dari apartemen ini (15.0 km); Stasiun Surabaya Gubeng berlokasi 23 menit berkendara (10.1 km); Stasiun Surabaya Pasarturi hanya 24 menit berkendara (10.2 km) Universitas Petra Christian dapat ditempuh selama 7 menit berkendara (2.6 km); Masjid Al-Akbar Surabaya hanya 9 menit berkendara (2.9 km).,https://www.travelio.com/property/surabaya/chic-and-vibrant-studio-apartment-at-tamansari-papilio-by-travelio?searchType=monthly&checkIn=29-06-2023&checkOut=28-07-2023&guest=1&nights=1&handpicked=&roomName=Studio%20Room&roomBreakfast=0
170,Gayungan,studioroom,1,22,Full Furnished,37,1,"Rp4,260,182",2.6,15,10.1,6,5,Bandara Internasional Juanda dapat ditempuh selama 19 menit berkendara dari apartemen ini (15.0 km); Stasiun Surabaya Gubeng berlokasi 23 menit berkendara (10.1 km); Stasiun Surabaya Pasarturi hanya 24 menit berkendara (10.2 km) Universitas Petra Christian dapat ditempuh selama 7 menit berkendara (2.6 km); Masjid Al-Akbar Surabaya hanya 9 menit berkendara (2.9 km).,https://www.travelio.com/property/surabaya/good-deal-minimalist-studio-apartment-at-tamansari-papilio-by-travelio?searchType=monthly&checkIn=29-06-2023&checkOut=28-07-2023&guest=1&nights=1&handpicked=&roomName=Studio%20Room&roomBreakfast=0
171,Gayungan,studioroom,1,20,Full Furnished,25,1,"Rp4,492,549",2.6,15,10.1,6,5,Bandara Internasional Juanda dapat ditempuh selama 19 menit berkendara dari apartemen ini (15.0 km); Stasiun Surabaya Gubeng berlokasi 23 menit berkendara (10.1 km); Stasiun Surabaya Pasarturi hanya 24 menit berkendara (10.2 km) Universitas Petra Christian dapat ditempuh selama 7 menit berkendara (2.6 km); Masjid Al-Akbar Surabaya hanya 9 menit berkendara (2.9 km).,https://www.travelio.com/property/surabaya/exquisite-studio-apartment-at-tamansari-papilio-by-travelio?searchType=monthly&checkIn=29-06-2023&checkOut=28-07-2023&guest=1&nights=1&handpicked=&roomName=Studio%20Room&roomBreakfast=0
172,Dukuh Pakis,studioroom,1,38.68,Full Furnished,9,1,"Rp4,499,945",2.3,23,10.3,6.2,25,"Bandara Internasional Juanda dapat ditempuh dengan 30 menit berkendara (23 km); 30 menit berkendara menuju Tol Surabaya-Gempol (29,7 km); Stasiun Gubeng berjarak 30 menit berkendara (10,3 km); 15 menit berkendara ke Terminal Joyoboyo (6,2 km); Rumah sakit terdekat yaitu RS Marinir Gunung Sari bisa diakses dengan 6 menit berkendara (2,3 km).",https://www.travelio.com/property/surabaya/minimalist-and-beautiful-1br-with-extra-room-at-pavilion-permata-apartment-by-travelio?searchType=monthly&checkIn=29-06-2023&checkOut=28-07-2023&guest=1&nights=1&handpicked=&roomName=1%20Bedroom&roomBreakfast=0
173,Mulyorejo,2 BR,2,35,Full Furnished,5,1,"Rp4,414,250",4.3,19.8,11.3,11.7,1.1,Bandara Internasional Juanda berjarak 35 menit berkendara (19.8 km). Stasiun Surabaya Gubeng berjarak 25 menit berkendara (11.3 km). Institut Teknologi Sepuluh Nopember berjarak 9 menit berkendara (4.3 km). Rumah Sakit Umum Haji Surabaya berjarak 16 menit berkendara (7 km). ,https://www.travelio.com/property/surabaya/homey-and-cozy-living-2br-apartment-at-east-coast-residence-by-travelio?searchType=monthly&checkIn=29-06-2023&checkOut=28-07-2023&guest=1
174,Mulyorejo,studioroom,1,26,Full Furnished,11,1,"Rp4,505,750",0.5,21.5,5.5,18.5,10.3,Bandara Internasional Juanda berjarak 40 menit berkendara (21.5 km). Stasiun Surabaya Gubeng berjarak 18 menit berkendara (5.5 km). Institut Teknologi Sepuluh Nopember berjarak 9 menit berkendara (3.2 km). Rumah Sakit Umum Haji Surabaya berjarak 9 menit berkendara (2.9 km).,https://www.travelio.com/property/surabaya/modern-spacious-studio-room-apartment-at-taman-melati-surabaya-by-travelio?searchType=monthly&checkIn=29-06-2023&checkOut=28-07-2023&guest=1&nights=1&handpicked=&roomName=Studio%20Room&roomBreakfast=0
175,Gayungan,studioroom,1,19.95,Full Furnished,26,1,"Rp4,569,412",2.6,15,10.1,6,5,Bandara Internasional Juanda dapat ditempuh selama 19 menit berkendara dari apartemen ini (15.0 km); Stasiun Surabaya Gubeng berlokasi 23 menit berkendara (10.1 km); Stasiun Surabaya Pasarturi hanya 24 menit berkendara (10.2 km) Universitas Petra Christian dapat ditempuh selama 7 menit berkendara (2.6 km); Masjid Al-Akbar Surabaya hanya 9 menit berkendara (2.9 km).,https://www.travelio.com/property/surabaya/warm-studio-apartment-at-tamansari-papilio-by-travelio?searchType=monthly&checkIn=29-06-2023&checkOut=28-07-2023&guest=1&nights=1&handpicked=&roomName=Studio%20Room&roomBreakfast=0
176,Sambikerep,studioroom,1,21,Full Furnished,2,1,"Rp4,609,707",18.1,26.3,11.7,15.5,4.5,Bandara Internasional Juanda bisa diakses dengan 33 menit berkendara (26.3 km); Rumah Sakit Premier Surabaya Berjarak 37 Menit Berkendara (13.3 km); 24 menit berkendara ke Surabaya Town Square (11 km); 30 menit berkendara menuju Universitas Kristen Petra (18.1 km); 31 menit berkendara menuju House Of Sampoerna (18.7 km); ,https://www.travelio.com/property/surabaya/comfortable-and-well-appointed-studio-apartment-orchard-supermall-mansion-by-travelio?searchType=monthly&checkIn=29-06-2023&checkOut=28-07-2023&guest=1
177,Sambikerep,studioroom,1,21,Full Furnished,6,1,"Rp4,611,970",18.1,26.3,11.7,15.5,4.5,Bandara Internasional Juanda bisa diakses dengan 33 menit berkendara (26.3 km); Rumah Sakit Premier Surabaya Berjarak 37 Menit Berkendara (13.3 km); 24 menit berkendara ke Surabaya Town Square (11 km); 30 menit berkendara menuju Universitas Kristen Petra (18.1 km); 31 menit berkendara menuju House Of Sampoerna (18.7 km),https://www.travelio.com/property/surabaya/restful-studio-apartment-at-orchard-supermall-mansion-by-travelio?searchType=monthly&checkIn=29-06-2023&checkOut=28-07-2023&guest=1&nights=1&handpicked=
178,Sambikerep,studioroom,1,21,Full Furnished,2,1,"Rp4,611,970",18.1,26.3,11.7,15.5,4.5,Bandara Internasional Juanda bisa diakses dengan 33 menit berkendara (26.3 km); Rumah Sakit Premier Surabaya Berjarak 37 Menit Berkendara (13.3 km); 24 menit berkendara ke Surabaya Town Square (11 km); 30 menit berkendara menuju Universitas Kristen Petra (18.1 km); 31 menit berkendara menuju House Of Sampoerna (18.7 km); ,https://www.travelio.com/property/surabaya/cozy-low-floor-studio-apartment-at-orchard-supermall-mansion-by-travelio?searchType=monthly&checkIn=29-06-2023&checkOut=28-07-2023&guest=1&nights=1&handpicked=&roomName=Studio%20Room&roomBreakfast=0
179,Sambikerep,studioroom,1,21,Full Furnished,20,1,"Rp4,611,970",18.1,26.3,11.7,15.5,4.5,Bandara Internasional Juanda bisa diakses dengan 33 menit berkendara (26.3 km); Rumah Sakit Premier Surabaya Berjarak 37 Menit Berkendara (13.3 km); 24 menit berkendara ke Surabaya Town Square (11 km); 30 menit berkendara menuju Universitas Kristen Petra (18.1 km); 31 menit berkendara menuju House Of Sampoerna (18.7 km),https://www.travelio.com/property/surabaya/comfy-and-tidy-studio-at-orchard-supermall-mansion-apartment-by-travelio?searchType=monthly&checkIn=29-06-2023&checkOut=28-07-2023&guest=1&nights=1&handpicked=&roomName=Studio%20Room&roomBreakfast=0
180,Rungkut,2 BR,2,36.31,Full Furnished,23,1,"Rp4,796,782",6.1,12.9,9.5,7.5,5.1,Bandara Internasional Juanda dapat ditempuh selama 24 menit berkendara dari unit ini (12.9 km); Stasiun Surabaya Gubeng hanya 26 menit berkendara (9.5 km); Universitas Sepuluh Nopember dapat ditempuh selama 15 menit berkendara (6.1 km); Universitas Airlangga Campus B hanya 22 menit berkendara (8.4 km); Rumah Sakit Dr. Soetomo berjarak 27 menit berkendara (9.5 km).,https://www.travelio.com/property/surabaya/exclusive-modern-2br-apartment-at-gunawangsa-merr-by-travelio?searchType=monthly&checkIn=29-06-2023&checkOut=28-07-2023&guest=1&nights=1&handpicked=&roomName=2%20Bedrooms&roomBreakfast=0
181,Sambikerep,studioroom,1,24,Full Furnished,1,1,"Rp4,628,566",18.1,26.3,11.7,15.5,4.5,Bandara Internasional Juanda bisa diakses dengan 33 menit berkendara (26.3 km); Rumah Sakit Premier Surabaya Berjarak 37 Menit Berkendara (13.3 km); 24 menit berkendara ke Surabaya Town Square (11 km); 30 menit berkendara menuju Universitas Kristen Petra (18.1 km); 31 menit berkendara menuju House Of Sampoerna (18.7 km),https://www.travelio.com/property/surabaya/exclusive-and-vibrant-studio-apartment-at-tanglin-supermall-mansion-by-travelio?searchType=monthly&checkIn=29-06-2023&checkOut=28-07-2023&guest=1&nights=1&handpicked=
182,Wonocolo,studioroom,1,25,Full Furnished,17,1,"Rp4,642,075",0.033,14.1,3.9,5.9,4.5,"Akses transportasi Bandara Internasional Juanda bisa diakses dengan 18 menit berkendara (14.1 km); 7 menit berkendara ke Stasiun Jemursari (3.9 km); 27 menit berkendara menuju Stasiun Surabaya Gubeng dan Stasiun Pasar Turi (13.7 km); dan Gerbang Tol Waru 1 berjarak 10 menit berkendara (4.5 km). Fasilitas kesehatan terdekat adalah Rumah Sakit Siloam Surabaya yang bisa dijangkau dengan 22 menit (10.8 km); 11 menit berkendara ke Rumah Sakit Islam Jemursari (3.7 km); dan Rumah Sakit Royal Surabaya berjarak 10 menit berkendara (3.1 km). Instansi pendidikan terdekat, yaitu UIN Sunan Ampel yang bisa ditempuh dengan 19 menit berkendara (6.4 km); 13 menit berkendara ke Univesitas Negeri Surabaya (UNESA) (6.7 km); dan Universitas Kristen Petra berjarak 1 menit berjalan kaki (33 m).",https://www.travelio.com/property/surabaya/spacious-studio-room-at-the-square-apartment-by-travelio?searchType=monthly&checkIn=29-06-2023&checkOut=28-07-2023&guest=1&nights=1&handpicked=
183,Sambikerep,studioroom,1,25,Full Furnished,P5,1,"Rp4,655,839",18.1,26.3,11.7,15.5,4.5,Bandara Internasional Juanda bisa diakses dengan 33 menit berkendara (26.3 km); Rumah Sakit Premier Surabaya Berjarak 37 Menit Berkendara (13.3 km); 24 menit berkendara ke Surabaya Town Square (11 km); 30 menit berkendara menuju Universitas Kristen Petra (18.1 km); 31 menit berkendara menuju House Of Sampoerna (18.7 km); ,https://www.travelio.com/property/surabaya/simple-and-cozy-studio-apartment-at-tanglin-supermall-mansion-by-travelio?searchType=monthly&checkIn=29-06-2023&checkOut=28-07-2023&guest=1&nights=1&handpicked=
184,Sambikerep,studioroom,1,21,Full Furnished,26,1,"Rp4,660,457",18.1,26.3,11.7,15.5,4.5,Bandara Internasional Juanda bisa diakses dengan 33 menit berkendara (26.3 km); Rumah Sakit Premier Surabaya Berjarak 37 Menit Berkendara (13.3 km); 24 menit berkendara ke Surabaya Town Square (11 km); 30 menit berkendara menuju Universitas Kristen Petra (18.1 km); 31 menit berkendara menuju House Of Sampoerna (18.7 km),https://www.travelio.com/property/surabaya/delightful-studio-apartment-at-orchard-supermall-mansion-by-travelio?searchType=monthly&checkIn=29-06-2023&checkOut=28-07-2023&guest=1&nights=1&handpicked=&roomName=Studio%20Room&roomBreakfast=0
185,Wonocolo,studioroom,1,30,Full Furnished,11,1,"Rp4,671,500",0.033,14.1,3.9,5.9,4.5,"Akses transportasi Bandara Internasional Juanda bisa diakses dengan 18 menit berkendara (14.1 km); 7 menit berkendara ke Stasiun Jemursari (3.9 km); 27 menit berkendara menuju Stasiun Surabaya Gubeng dan Stasiun Pasar Turi (13.7 km); dan Gerbang Tol Waru 1 berjarak 10 menit berkendara (4.5 km). Fasilitas kesehatan terdekat adalah Rumah Sakit Siloam Surabaya yang bisa dijangkau dengan 22 menit (10.8 km); 11 menit berkendara ke Rumah Sakit Islam Jemursari (3.7 km); dan Rumah Sakit Royal Surabaya berjarak 10 menit berkendara (3.1 km). Instansi pendidikan terdekat, yaitu UIN Sunan Ampel yang bisa ditempuh dengan 19 menit berkendara (6.4 km); 13 menit berkendara ke Univesitas Negeri Surabaya (UNESA) (6.7 km); dan Universitas Kristen Petra berjarak 1 menit berjalan kaki (33 m)",https://www.travelio.com/property/surabaya/cozy-and-relaxing-studio-at-the-square-surabaya-apartment-by-travelio?searchType=monthly&checkIn=29-06-2023&checkOut=28-07-2023&guest=1&nights=1&handpicked=
186,Sambikerep,studioroom,1,25,Full Furnished,15,1,"Rp4,656,488",18.1,26.3,11.7,15.5,4.5,Bandara Internasional Juanda bisa diakses dengan 33 menit berkendara (26.3 km); Rumah Sakit Premier Surabaya Berjarak 37 Menit Berkendara (13.3 km); 24 menit berkendara ke Surabaya Town Square (11 km); 30 menit berkendara menuju Universitas Kristen Petra (18.1 km); 31 menit berkendara menuju House Of Sampoerna (18.7 km),https://www.travelio.com/property/surabaya/clean-studio-with-connected-to-mall-at-orchard-supermall-mansion-apartment-by-travelio?searchType=monthly&checkIn=29-06-2023&checkOut=28-07-2023&guest=1
187,Sambikerep,studioroom,1,25,Full Furnished,33,1,"Rp4,571,488",18.1,26.3,11.7,15.5,4.5,Bandara Internasional Juanda bisa diakses dengan 33 menit berkendara (26.3 km); Rumah Sakit Premier Surabaya Berjarak 37 Menit Berkendara (13.3 km); 24 menit berkendara ke Surabaya Town Square (11 km); 30 menit berkendara menuju Universitas Kristen Petra (18.1 km); 31 menit berkendara menuju House Of Sampoerna (18.7 km),https://www.travelio.com/property/surabaya/nice-and-comfy-studio-at-orchard-supermall-mansion-apartment-by-travelio?searchType=monthly&checkIn=29-06-2023&checkOut=28-07-2023&guest=1
188,Mulyorejo,studioroom,1,20,Full Furnished,10,1,"Rp4,400,000",2.4,22.4,9.2,20.7,12.6,"Bandara Internasional Juanda berjarak 54 menit berkendara dari apartemen ini (22,4 km); 25 menit menit berkendara menuju Stasiun Gubeng (9,2 km); 40 menit ke Stasiun Pasar Turi (11,9 km); 22 menit berkendara menuju Universitas Airlangga (7,7 km); dan Institut Teknologi Sepuluh Nopember (ITS) dapat dijangkau dengan 7 menit berkendara (2,4 km).",https://www.travelio.com/property/surabaya/best-choice-and-comfy-studio-room-at-educity-surabaya-apartment-by-travelio?searchType=monthly&checkIn=29-06-2023&checkOut=28-07-2023&guest=1&nights=1&handpicked=
189,Rungkut,2 BR,2,40.87,Full Furnished,6,1,"Rp4,579,673",6.1,12.9,9.5,7.5,5.1,Bandara Internasional Juanda dapat ditempuh selama 24 menit berkendara dari unit ini (12.9 km); Stasiun Surabaya Gubeng hanya 26 menit berkendara (9.5 km); Universitas Sepuluh Nopember dapat ditempuh selama 15 menit berkendara (6.1 km); Universitas Airlangga Campus B hanya 22 menit berkendara (8.4 km); Rumah Sakit Dr. Soetomo berjarak 27 menit berkendara (9.5 km),https://www.travelio.com/property/surabaya/best-deal-and-comfy-2br-at-gunawangsa-merr-apartment-by-travelio?searchType=monthly&checkIn=29-06-2023&checkOut=28-07-2023&guest=1&nights=1&handpicked=&roomName=2%20Bedrooms&roomBreakfast=0
190,Bubutan,studioroom,1,27.73,Full Furnished,11,1,"Rp4,701,970",6.6,20.3,3,18.7,1.9,Bandara Internasional Juanda bisa diakses dengan berkendara selama 43 menit (20.3 km); 19 menit berkendara dari Stasiun Surabaya Gubeng (6.6 km); 11 menit berkendara dari Stasiun Pasar Turi (3 km); 17 menit berkendara menuju Rumah Sakit Mitra Keluarga Surabaya (5.2 km); Universitas Airlangga berjarak 21 menit berkendara (6.6 km).,https://www.travelio.com/property/surabaya/scenic-modern-studio-apartment-at-gunawangsa-tidar-by-travelio?searchType=monthly&checkIn=29-06-2023&checkOut=28-07-2023&guest=1
191,Sambikerep,studioroom,1,25,Full Furnished,8,1,"Rp4,731,488",18.1,26.3,11.7,15.5,4.5,Bandara Internasional Juanda bisa diakses dengan 33 menit berkendara (26.3 km); Rumah Sakit Premier Surabaya Berjarak 37 Menit Berkendara (13.3 km); 24 menit berkendara ke Surabaya Town Square (11 km); 30 menit berkendara menuju Universitas Kristen Petra (18.1 km); 31 menit berkendara menuju House Of Sampoerna (18.7 km); ,https://www.travelio.com/property/surabaya/compact-and-cozy-studio-apartment-at-orchard-supermall-mansion-by-travelio?searchType=monthly&checkIn=29-06-2023&checkOut=28-07-2023&guest=1&nights=1&handpicked=
192,Wonocolo,studioroom,1,27,Full Furnished,11,1,"Rp4,589,227",0.033,14.1,3.9,5.9,4.5,"Akses transportasi Bandara Internasional Juanda bisa diakses dengan 18 menit berkendara (14.1 km); 7 menit berkendara ke Stasiun Jemursari (3.9 km); 27 menit berkendara menuju Stasiun Surabaya Gubeng dan Stasiun Pasar Turi (13.7 km); dan Gerbang Tol Waru 1 berjarak 10 menit berkendara (4.5 km). Fasilitas kesehatan terdekat adalah Rumah Sakit Siloam Surabaya yang bisa dijangkau dengan 22 menit (10.8 km); 11 menit berkendara ke Rumah Sakit Islam Jemursari (3.7 km); dan Rumah Sakit Royal Surabaya berjarak 10 menit berkendara (3.1 km). Instansi pendidikan terdekat, yaitu UIN Sunan Ampel yang bisa ditempuh dengan 19 menit berkendara (6.4 km); 13 menit berkendara ke Univesitas Negeri Surabaya (UNESA) (6.7 km); dan Universitas Kristen Petra berjarak 1 menit berjalan kaki (33 m).",https://www.travelio.com/property/surabaya/classic-modern-studio-room-apartment-at-the-square-surabaya-by-travelio?searchType=monthly&checkIn=29-06-2023&checkOut=28-07-2023&guest=1
193,Wiyung,studioroom,1,25,Full Furnished,15,1,"Rp4,745,200",2.9,28.4,11,11.1,8.7,"Bandara Internasional Juanda bisa diakses dengan 47 menit berkendara (28,4 km); 40 menit berkendara menuju Stasiun Gubeng (13,9 km); 37 menit berkendara ke Stasiun Pasar Turi (11 km); 20 menit berkendara menuju Jalan Tol Surabaya-Gempol (8,7 km); 29 menit berkendara ke Terminal Joyoboyo (11,1 km); dan RS Marinir Gunung Sari berjarak 27 menit berkendara (9,5 km).",https://www.travelio.com/property/surabaya/comfy-studio-apartment-connected-to-mall-at-benson-supermall-mansion-by-travelio?searchType=monthly&checkIn=29-06-2023&checkOut=28-07-2023&guest=1&nights=1&handpicked=
194,Bubutan,studioroom,1,26,Full Furnished,50,1,"Rp4,461,400",6.6,20.3,3,18.7,1.9,Bandara Internasional Juanda bisa diakses dengan berkendara selama 43 menit (20.3 km); 19 menit berkendara dari Stasiun Surabaya Gubeng (6.6 km); 11 menit berkendara dari Stasiun Pasar Turi (3 km); 17 menit berkendara menuju Rumah Sakit Mitra Keluarga Surabaya (5.2 km); Universitas Airlangga berjarak 21 menit berkendara (6.6 km).,https://www.travelio.com/property/surabaya/tidy-and-compact-1br-apartment-at-gunawangsa-tidar-by-travelio?searchType=monthly&checkIn=29-06-2023&checkOut=28-07-2023&guest=1&nights=1&handpicked=
